persona,user_id,age,is_urban,is_weekend_rider,is_rain_rider,is_airport_trip,is_rush_hour,payment_type,passenger_count,monthly_rides_history,recency_days,preferred_hour,Y0,Y1,ite_realized,cate_true,treatment_rand,Y_rand,treatment_obs,propensity_true,Y_obs,avg_fare_per_trip,gross_revenue_30d,discount_cost_30d,net_contribution,y_obs,fare_rand
Urban Regulars,5334,29,1,0,0,0,1,1,2,2,8,7,8,10,2,0.5455,1,10,0,0.411128,8,16.16,161.6,24.24,88.88,10,161.6
Urban Regulars,5335,26,1,0,0,0,0,2,1,2,7,22,10,12,2,1.2894,0,10,1,0.803941,12,10.28,102.8,0.0,71.96,10,102.8
Suburban Cash,5336,34,0,0,0,0,0,2,1,1,11,11,8,0,-8,1.1533,1,0,1,0.257568,0,18.63,0.0,0.0,0.0,0,0.0
Suburban Card,5337,30,0,0,0,0,0,1,1,0,10,22,7,0,-7,1.3502,1,0,0,0.19266,7,20.07,0.0,0.0,0.0,0,0.0
Suburban Cash,5338,32,0,1,0,0,0,2,1,4,10,13,3,1,-2,1.0105,1,1,0,0.520956,3,26.65,26.65,3.0,15.65,1,26.65
Suburban Cash,5339,26,0,0,0,0,0,2,2,0,16,5,0,3,3,0.8759,1,3,0,0.155987,0,24.79,74.37,9.0,43.06,3,74.37
Rain Riders,5340,24,1,1,1,1,1,2,2,4,3,17,34,8,-26,0.1298,0,34,0,0.423672,34,50.73,1724.82,0.0,1207.37,34,1724.82
Urban Regulars,5341,36,1,0,0,0,1,2,1,2,3,17,14,7,-7,0.5553,1,7,0,0.40754,14,13.39,93.73,14.06,51.55,7,93.73
Urban Regulars,5342,22,1,0,0,0,1,2,1,1,3,7,7,4,-3,0.3598,0,7,0,0.520567,7,14.19,99.33,0.0,69.53,7,99.33
Suburban Card,5343,49,0,1,0,0,1,1,1,5,14,19,0,6,6,1.0032,1,6,0,0.0677,0,32.66,195.96,18.0,119.17,6,195.96
Urban Regulars,5344,27,1,0,0,0,1,2,1,10,3,8,18,7,-11,0.1005,1,7,1,0.819029,7,12.34,86.38,12.96,47.51,7,86.38
Rain Riders,5345,22,1,0,1,0,0,2,1,10,6,1,13,15,2,0.5504,0,13,1,0.866272,15,13.71,178.23,0.0,124.76,13,178.23
Rain Riders,5346,31,1,0,1,0,0,2,1,1,4,20,5,23,18,2.0376,0,5,0,0.435142,5,29.02,145.1,0.0,101.57,5,145.1
Suburban Card,5347,25,0,1,0,0,0,1,1,0,10,23,0,0,0,2.235,0,0,0,0.245612,0,67.14,0.0,0.0,0.0,0,0.0
Suburban Cash,5348,38,0,0,0,0,0,2,1,0,10,21,0,0,0,0.7561,1,0,1,0.126764,0,25.89,0.0,0.0,0.0,0,0.0
Suburban Card,5349,35,0,0,0,0,1,1,1,2,7,7,2,5,3,0.5714,0,2,0,0.133391,2,70.67,141.34,0.0,98.94,2,141.34
Urban Regulars,5350,27,1,0,0,0,0,2,1,9,1,10,21,12,-9,0.7277,0,21,1,0.956087,12,9.75,204.75,0.0,143.32,21,204.75
Suburban Cash,5351,34,0,0,0,1,0,2,1,2,10,22,8,6,-2,0.3665,0,8,1,0.363264,6,77.43,619.44,0.0,433.61,8,619.44
Suburban Cash,5352,35,0,0,0,0,0,2,1,6,12,23,6,16,10,0.73,0,6,1,0.518116,16,27.31,163.86,0.0,114.7,6,163.86
Suburban Cash,5353,31,0,1,0,0,1,2,1,3,13,18,2,8,6,0.6007,1,8,0,0.137814,2,47.6,380.8,24.0,242.56,8,380.8
Suburban Card,5354,50,0,0,0,0,0,1,3,4,12,14,3,4,1,1.0128,1,4,0,0.23102,3,16.15,64.6,9.69,35.53,4,64.6
Suburban Card,5355,44,0,1,0,0,0,1,2,0,15,12,0,0,0,1.8369,1,0,0,0.061643,0,32.06,0.0,0.0,0.0,0,0.0
Suburban Cash,5356,39,0,0,0,0,0,2,1,3,8,14,0,3,3,0.8102,1,3,0,0.398783,0,44.39,133.17,9.0,84.22,3,133.17
Urban Regulars,5357,25,1,1,0,0,0,2,1,5,2,15,17,9,-8,0.693,1,9,1,0.930865,9,10.0,90.0,13.5,49.5,9,90.0
Urban Regulars,5358,25,1,0,0,0,0,2,1,2,3,20,9,24,15,1.2033,0,9,0,0.85928,9,16.69,150.21,0.0,105.15,9,150.21
Urban Regulars,5359,28,1,0,0,0,1,2,2,3,9,17,4,5,1,0.2672,1,5,1,0.478045,5,12.34,61.7,9.25,33.94,5,61.7
Suburban Cash,5360,30,0,0,0,0,1,2,1,3,21,7,2,0,-2,0.5596,0,2,0,0.079909,2,58.78,117.56,0.0,82.29,2,117.56
Suburban Cash,5361,31,0,0,0,0,1,2,1,3,7,9,14,3,-11,0.2324,0,14,0,0.20925,14,32.44,454.16,0.0,317.91,14,454.16
Urban Regulars,5362,31,1,0,0,0,1,2,1,4,3,19,6,13,7,0.2773,0,6,1,0.612385,13,21.67,130.02,0.0,91.01,6,130.02
Urban Regulars,5363,34,1,0,0,0,0,2,1,5,5,11,19,14,-5,0.9502,0,19,1,0.856781,14,17.69,336.11,0.0,235.28,19,336.11
Suburban Cash,5364,35,0,0,0,0,1,2,1,0,12,19,1,0,-1,0.7747,0,1,0,0.031937,1,36.56,36.56,0.0,25.59,1,36.56
Suburban Cash,5365,23,0,0,0,0,0,2,4,0,11,6,1,2,1,0.8811,0,1,0,0.253146,1,29.47,29.47,0.0,20.63,1,29.47
Suburban Cash,5366,34,0,1,0,0,1,2,1,2,9,17,0,0,0,0.798,0,0,0,0.121617,0,22.28,0.0,0.0,0.0,0,0.0
Airport Business,5367,22,1,1,0,1,0,2,3,9,8,21,23,13,-10,0.3764,0,23,1,0.942847,13,72.3,1662.9,0.0,1164.03,23,1662.9
Suburban Cash,5368,38,0,1,0,0,1,2,1,1,20,8,2,3,1,1.204,1,3,0,0.027563,2,18.5,55.5,8.32,30.53,3,55.5
Suburban Cash,5369,40,0,0,0,0,0,2,2,6,10,14,9,19,10,0.6826,1,19,1,0.482474,19,34.11,648.09,57.0,396.66,19,648.09
Urban Regulars,5370,33,1,0,0,0,1,2,1,0,4,9,6,9,3,0.7279,1,9,1,0.199106,9,16.85,151.65,22.75,83.4,9,151.65
Urban Regulars,5371,43,1,0,0,0,0,2,1,4,2,4,9,18,9,0.5045,1,18,1,0.785122,18,19.61,352.98,52.95,194.14,18,352.98
Suburban Cash,5372,29,0,0,0,0,0,2,2,3,12,21,9,7,-2,0.8108,1,7,1,0.468721,7,4.91,34.37,5.16,18.9,7,34.37
Urban Regulars,5373,35,1,0,0,0,0,2,1,16,4,14,8,27,19,0.5479,1,27,1,0.946472,27,5.77,155.79,23.37,85.68,27,155.79
Rain Riders,5374,35,1,1,1,0,0,2,1,9,4,20,35,2,-33,0.609,0,35,0,0.756119,35,9.29,325.15,0.0,227.6,35,325.15
Suburban Cash,5375,34,0,0,1,0,0,2,1,2,14,2,9,9,0,0.8772,1,9,0,0.10936,9,23.35,210.15,27.0,120.1,9,210.15
Suburban Cash,5376,25,0,0,0,0,0,2,2,0,9,13,0,4,4,0.7888,1,4,1,0.26151,4,14.16,56.64,8.5,31.15,4,56.64
Urban Regulars,5377,34,1,0,0,0,1,2,2,5,5,18,17,7,-10,0.1361,0,17,1,0.571704,7,23.55,400.35,0.0,280.24,17,400.35
Suburban Card,5378,47,0,0,0,0,1,1,1,2,11,8,16,0,-16,0.778,0,16,0,0.049596,16,28.45,455.2,0.0,318.64,16,455.2
Urban Regulars,5379,23,1,0,0,0,1,2,2,3,1,8,11,3,-8,0.3235,1,3,1,0.709908,3,65.49,196.47,9.0,128.53,3,196.47
Suburban Card,5380,38,0,1,0,0,1,1,1,0,6,9,1,0,-1,1.9237,0,1,0,0.043363,1,13.52,13.52,0.0,9.46,1,13.52
Urban Regulars,5381,28,1,1,0,0,1,2,1,3,7,8,6,7,1,0.2023,0,6,1,0.52003,7,12.65,75.9,0.0,53.13,6,75.9
Suburban Cash,5382,33,0,1,0,0,0,2,2,2,19,20,0,7,7,1.3683,0,0,0,0.221791,0,19.96,0.0,0.0,0.0,0,0.0
Suburban Cash,5383,24,0,0,0,0,0,2,2,7,12,22,2,7,5,0.5483,0,2,1,0.709325,7,25.71,51.42,0.0,35.99,2,51.42
Rain Riders,5384,33,1,1,1,1,0,2,4,0,5,22,7,4,-3,1.0028,0,7,0,0.235789,7,36.38,254.66,0.0,178.26,7,254.66
Urban Regulars,5385,25,1,0,0,0,1,2,1,4,5,8,9,11,2,0.152,0,9,1,0.659735,11,23.91,215.19,0.0,150.63,9,215.19
Suburban Cash,5386,52,0,0,0,0,1,2,1,1,11,9,11,7,-4,0.4566,1,7,0,0.024673,11,7.01,49.07,7.36,26.99,7,49.07
Airport Business,5387,26,1,0,0,1,0,2,1,3,1,12,10,13,3,0.2678,1,13,1,0.901014,13,57.7,750.1,39.0,486.07,13,750.1
Urban Regulars,5388,25,1,1,0,0,1,2,3,3,3,8,0,24,24,0.2168,0,0,0,0.646259,0,12.35,0.0,0.0,0.0,0,0.0
Urban Regulars,5389,25,1,0,0,0,1,2,1,2,4,9,18,4,-14,0.3263,0,18,1,0.556088,4,18.27,328.86,0.0,230.2,18,328.86
Suburban Card,5390,32,0,0,0,0,0,1,3,4,11,12,0,3,3,0.7866,0,0,1,0.499963,3,11.97,0.0,0.0,0.0,0,0.0
Urban Regulars,5391,26,1,0,0,0,1,2,3,9,4,19,17,41,24,0.0912,1,41,1,0.800707,41,39.43,1616.63,123.0,1008.64,41,1616.63
Urban Regulars,5392,34,1,1,0,0,0,2,1,0,3,10,5,11,6,2.36,1,11,0,0.532453,5,9.59,105.49,15.82,58.02,11,105.49
Suburban Card,5393,32,0,0,0,0,0,1,1,4,13,16,22,0,-22,0.9598,1,0,1,0.458053,0,18.72,0.0,0.0,0.0,0,0.0
Urban Regulars,5394,35,1,0,0,0,1,2,1,6,3,18,7,14,7,0.1053,0,7,0,0.634571,7,17.57,122.99,0.0,86.09,7,122.99
Urban Regulars,5395,33,1,1,0,0,0,2,1,4,3,20,4,0,-4,0.8666,0,4,1,0.862129,0,11.68,46.72,0.0,32.7,4,46.72
Urban Regulars,5396,32,1,1,0,0,1,2,1,7,2,19,7,14,7,0.0893,1,14,0,0.72281,7,27.88,390.32,42.0,231.22,14,390.32
Urban Regulars,5397,31,1,0,0,0,1,2,1,8,5,9,6,19,13,0.1503,1,19,1,0.708603,19,18.81,357.39,53.61,196.56,19,357.39
Urban Regulars,5398,23,1,0,0,0,1,2,1,2,4,17,7,4,-3,0.4681,1,4,1,0.586513,4,14.17,56.68,8.5,31.18,4,56.68
Suburban Card,5399,40,0,0,0,0,1,1,1,3,18,7,8,2,-6,1.0776,1,2,0,0.056633,8,79.91,159.82,6.0,105.87,2,159.82
Urban Regulars,5400,33,1,0,0,0,1,2,1,7,3,8,45,26,-19,0.1589,0,45,0,0.692598,45,10.67,480.15,0.0,336.1,45,480.15
Suburban Cash,5401,46,0,0,0,0,0,2,1,2,14,6,11,3,-8,0.8293,1,3,0,0.162071,11,18.18,54.54,8.18,30.0,3,54.54
Urban Regulars,5402,22,1,0,0,0,0,2,1,8,4,23,16,7,-9,0.7935,1,7,1,0.953991,7,17.64,123.48,18.52,67.92,7,123.48
Rain Riders,5403,33,1,1,1,0,1,2,1,0,0,9,9,0,-9,0.2569,1,0,1,0.094849,0,27.05,0.0,0.0,0.0,0,0.0
Urban Regulars,5404,22,1,0,0,0,0,2,1,2,8,20,5,10,5,1.3089,1,10,1,0.828584,10,14.83,148.3,22.24,81.57,10,148.3
Rain Riders,5405,30,1,0,1,0,0,2,1,2,6,16,13,23,10,0.9534,1,23,0,0.511647,13,9.68,222.64,33.4,122.45,23,222.64
Suburban Cash,5406,37,0,0,0,0,0,2,1,3,15,20,4,9,5,0.8769,0,4,1,0.294339,9,9.68,38.72,0.0,27.1,4,38.72
Urban Regulars,5407,24,1,0,0,0,0,2,1,3,3,20,10,9,-1,1.0689,0,10,1,0.897041,9,9.8,98.0,0.0,68.6,10,98.0
Rain Riders,5408,28,1,0,1,0,1,2,1,6,2,7,14,14,0,0.0971,1,14,1,0.467752,14,36.73,514.22,42.0,317.95,14,514.22
Airport Business,5409,27,1,0,0,1,0,2,2,4,1,16,6,24,18,0.1106,1,24,1,0.914817,24,77.75,1866.0,72.0,1234.2,24,1866.0
Suburban Cash,5410,37,0,0,0,0,0,2,1,2,13,22,0,5,5,1.0961,1,5,0,0.269004,0,51.92,259.6,15.0,166.72,5,259.6
Urban Regulars,5411,28,1,0,0,0,0,2,2,4,5,10,14,29,15,1.3022,1,29,1,0.878223,29,11.55,334.95,50.24,184.22,29,334.95
Suburban Card,5412,36,0,0,0,0,0,1,1,0,15,14,7,0,-7,1.4892,0,7,0,0.097465,7,12.72,89.04,0.0,62.33,7,89.04
Urban Regulars,5413,26,1,0,0,0,0,2,2,3,3,0,7,9,2,0.6341,0,7,1,0.884984,9,20.18,141.26,0.0,98.88,7,141.26
Rain Riders,5414,42,1,0,1,0,1,2,1,1,3,7,10,0,-10,0.333,1,0,0,0.086247,10,28.58,0.0,0.0,0.0,0,0.0
Suburban Card,5415,36,0,0,0,0,0,1,1,10,12,20,10,4,-6,0.7488,1,4,0,0.615668,10,15.45,61.8,9.27,33.99,4,61.8
Rain Riders,5416,25,1,1,1,0,1,2,1,3,4,8,18,20,2,0.1607,1,20,1,0.335953,20,31.48,629.6,60.0,380.72,20,629.6
Urban Regulars,5417,25,1,1,0,0,0,2,1,6,3,4,25,11,-14,0.4975,0,25,1,0.935427,11,19.13,478.25,0.0,334.78,25,478.25
Suburban Cash,5418,40,0,0,0,0,0,2,1,0,15,16,0,8,8,1.1146,1,8,0,0.077684,0,27.23,217.84,24.0,128.49,8,217.84
Rain Riders,5419,48,1,1,1,0,1,2,1,6,4,18,12,7,-5,0.1727,1,7,0,0.176554,12,11.54,80.78,12.12,44.43,7,80.78
Rain Riders,5420,34,1,0,1,0,0,2,2,3,5,10,6,0,-6,1.1907,1,0,1,0.543738,0,13.38,0.0,0.0,0.0,0,0.0
Urban Regulars,5421,27,1,1,0,0,0,2,1,0,3,15,0,0,0,1.9463,0,0,0,0.637592,0,17.64,0.0,0.0,0.0,0,0.0
Urban Regulars,5422,21,1,0,0,0,1,2,1,2,6,9,14,17,3,0.7622,1,17,0,0.575859,14,25.7,436.9,51.0,254.83,17,436.9
Suburban Card,5423,28,0,0,0,0,1,1,1,2,12,7,6,3,-3,0.8796,1,3,1,0.135116,3,45.99,137.97,9.0,87.58,3,137.97
Rain Riders,5424,25,1,0,1,0,1,2,3,3,3,18,10,26,16,0.1486,0,10,1,0.354947,26,38.73,387.3,0.0,271.11,10,387.3
Suburban Cash,5425,24,0,0,0,0,1,2,2,2,4,18,3,16,13,0.2185,0,3,0,0.281753,3,22.77,68.31,0.0,47.82,3,68.31
Suburban Cash,5426,32,0,0,0,0,1,2,2,7,12,19,16,3,-13,0.2303,0,16,0,0.248812,16,14.49,231.84,0.0,162.29,16,231.84
Suburban Card,5427,38,0,0,0,0,1,1,3,8,15,9,0,5,5,0.5255,1,5,0,0.166627,0,21.02,105.1,15.0,58.57,5,105.1
Suburban Cash,5428,31,0,1,0,0,0,2,1,4,14,20,14,17,3,0.9858,1,17,0,0.452625,14,17.3,294.1,44.12,161.75,17,294.1
Suburban Cash,5429,41,0,0,0,0,0,2,1,5,11,14,4,1,-3,0.6672,0,4,0,0.407707,4,14.62,58.48,0.0,40.94,4,58.48
Suburban Cash,5430,30,0,0,1,0,1,2,2,0,9,19,0,0,0,0.4227,0,0,0,0.017144,0,75.33,0.0,0.0,0.0,0,0.0
Urban Regulars,5431,22,1,0,0,0,0,2,1,2,2,12,0,4,4,0.9003,0,0,1,0.888918,4,9.03,0.0,0.0,0.0,0,0.0
Rain Riders,5432,25,1,1,1,0,0,2,2,4,4,22,6,16,10,0.9673,1,16,1,0.740031,16,38.2,611.2,48.0,379.84,16,611.2
Suburban Cash,5433,28,0,0,0,0,1,2,1,5,10,7,10,0,-10,0.2934,0,10,0,0.272554,10,22.55,225.5,0.0,157.85,10,225.5
Urban Regulars,5434,22,1,0,0,0,1,2,1,8,2,17,37,10,-27,0.0828,1,10,1,0.845517,10,23.58,235.8,30.0,135.06,10,235.8
Suburban Cash,5435,27,0,0,0,0,0,2,1,1,13,22,0,13,13,0.8946,1,13,0,0.311792,0,17.77,231.01,34.65,127.06,13,231.01
Urban Regulars,5436,21,1,0,0,0,1,2,1,0,1,17,3,6,3,0.2747,1,6,1,0.402698,6,19.33,115.98,17.4,63.79,6,115.98
Suburban Cash,5437,23,0,0,0,0,0,2,1,0,14,16,0,5,5,1.1772,1,5,0,0.208505,0,20.85,104.25,15.0,57.97,5,104.25
Rain Riders,5438,26,1,0,1,0,0,2,1,3,4,3,8,7,-1,0.3604,0,8,1,0.68059,7,16.86,134.88,0.0,94.42,8,134.88
Suburban Card,5439,29,0,1,0,0,0,1,1,2,17,21,0,0,0,1.537,0,0,1,0.301811,0,7.59,0.0,0.0,0.0,0,0.0
Urban Regulars,5440,40,1,1,0,0,1,2,1,0,7,8,11,1,-10,0.8262,1,1,0,0.111167,11,52.59,52.59,3.0,33.81,1,52.59
Urban Regulars,5441,24,1,0,0,0,1,2,1,6,7,7,12,7,-5,0.4103,0,12,1,0.710799,7,13.82,165.84,0.0,116.09,12,165.84
Suburban Card,5442,30,0,1,0,0,1,1,1,0,14,9,0,12,12,1.3724,0,0,0,0.036654,0,23.56,0.0,0.0,0.0,0,0.0
Suburban Cash,5443,35,0,0,0,0,0,2,2,6,14,20,14,0,-14,0.5504,1,0,0,0.476133,14,11.52,0.0,0.0,0.0,0,0.0
Suburban Cash,5444,41,0,1,0,0,1,2,1,0,15,8,0,6,6,1.1308,0,0,0,0.017355,0,69.22,0.0,0.0,0.0,0,0.0
Suburban Card,5445,45,0,0,0,0,1,1,1,0,11,8,6,4,-2,1.2079,0,6,0,0.018913,6,13.91,83.46,0.0,58.42,6,83.46
Urban Regulars,5446,28,1,0,0,0,0,2,1,0,7,4,0,7,7,1.2248,0,0,1,0.541584,7,17.83,0.0,0.0,0.0,0,0.0
Suburban Cash,5447,32,0,1,0,0,0,2,4,2,10,3,13,7,-6,1.379,0,13,0,0.392466,13,47.74,620.62,0.0,434.43,13,620.62
Rain Riders,5448,24,1,0,1,0,1,2,1,2,5,8,5,14,9,0.5371,0,5,0,0.269614,5,12.49,62.45,0.0,43.72,5,62.45
Urban Regulars,5449,28,1,1,0,0,0,2,2,2,0,20,7,8,1,1.1512,1,8,1,0.867033,8,24.23,193.84,24.0,111.69,8,193.84
Rain Riders,5450,34,1,0,1,0,0,2,1,11,9,1,10,14,4,0.6456,1,14,0,0.723012,10,24.05,336.7,42.0,193.69,14,336.7
Airport Business,5451,27,1,0,0,1,1,2,2,3,5,9,5,6,1,0.1736,1,6,0,0.576966,5,92.48,554.88,18.0,370.42,6,554.88
Rain Riders,5452,29,1,0,1,0,0,2,1,5,5,15,37,16,-21,1.0727,1,16,0,0.710841,37,12.39,198.24,29.74,109.03,16,198.24
Suburban Cash,5453,40,0,0,0,0,1,2,1,0,11,8,7,4,-3,0.8423,0,7,0,0.025626,7,58.17,407.19,0.0,285.03,7,407.19
Urban Regulars,5454,29,1,0,0,0,1,2,1,9,5,17,22,11,-11,0.1747,1,11,1,0.754044,11,19.02,209.22,31.38,115.07,11,209.22
Suburban Card,5455,37,0,0,0,0,0,1,3,4,12,1,6,10,4,1.0153,0,6,0,0.402555,6,5.08,30.48,0.0,21.34,6,30.48
Urban Regulars,5456,29,1,0,0,0,0,2,3,0,2,13,2,15,13,2.1902,1,15,1,0.628241,15,14.68,220.2,33.03,121.11,15,220.2
Urban Regulars,5457,23,1,0,0,0,1,1,2,5,2,9,22,10,-12,0.2577,0,22,1,0.772824,10,8.65,190.3,0.0,133.21,22,190.3
Suburban Cash,5458,34,0,0,0,0,0,2,1,3,16,22,8,0,-8,0.8294,1,0,0,0.316042,8,14.28,0.0,0.0,0.0,0,0.0
Airport Business,5459,28,1,0,0,1,1,2,1,14,3,18,8,25,17,0.0648,0,8,1,0.853694,25,61.74,493.92,0.0,345.74,8,493.92
Urban Regulars,5460,37,1,0,0,0,1,2,1,6,7,17,21,3,-18,0.1451,0,21,1,0.522868,3,44.91,943.11,0.0,660.18,21,943.11
Suburban Card,5461,29,0,1,0,0,0,1,1,0,15,10,3,4,1,2.1304,1,4,0,0.142977,3,20.86,83.44,12.0,46.41,4,83.44
Urban Regulars,5462,28,1,0,0,0,0,2,1,5,7,11,8,5,-3,0.8766,0,8,1,0.88012,5,13.32,106.56,0.0,74.59,8,106.56
Urban Regulars,5463,26,1,0,0,0,1,2,2,8,1,19,10,28,18,0.0763,1,28,1,0.822788,28,20.91,585.48,84.0,325.84,28,585.48
Suburban Cash,5464,48,0,1,0,0,0,2,1,1,11,2,7,4,-3,1.3662,0,7,0,0.126915,7,10.35,72.45,0.0,50.72,7,72.45
Urban Regulars,5465,33,1,1,0,0,0,2,1,3,1,14,20,12,-8,0.8037,1,12,1,0.854906,12,19.66,235.92,35.39,129.75,12,235.92
Suburban Cash,5466,34,0,1,0,0,1,2,1,0,17,17,6,2,-4,0.8453,1,2,0,0.022544,6,36.46,72.92,6.0,45.04,2,72.92
Suburban Cash,5467,21,0,0,0,0,0,2,1,9,9,21,8,7,-1,0.4201,1,7,1,0.826077,7,16.01,112.07,16.81,61.64,7,112.07
Urban Regulars,5468,34,1,0,0,0,1,2,1,2,4,7,4,10,6,0.1988,0,4,1,0.417293,10,26.21,104.84,0.0,73.39,4,104.84
Urban Regulars,5469,22,1,0,0,0,0,2,2,3,3,12,13,22,9,0.721,0,13,1,0.907965,22,27.61,358.93,0.0,251.25,13,358.93
Urban Regulars,5470,21,1,1,0,0,0,2,1,2,2,22,7,24,17,1.1686,1,24,1,0.894907,24,13.1,314.4,47.16,172.92,24,314.4
Suburban Cash,5471,41,0,1,0,0,1,2,1,0,18,7,0,0,0,1.0504,1,0,0,0.013541,0,37.08,0.0,0.0,0.0,0,0.0
Urban Regulars,5472,29,1,0,0,0,0,2,1,6,3,14,0,24,24,0.8041,1,24,1,0.91869,24,15.65,375.6,56.34,206.58,24,375.6
Suburban Cash,5473,36,0,0,0,0,0,2,1,0,13,16,0,2,2,0.9182,1,2,0,0.113279,0,45.93,91.86,6.0,58.3,2,91.86
Urban Regulars,5474,25,1,1,0,0,1,1,1,7,1,8,7,5,-2,0.4688,0,7,1,0.814179,5,11.28,78.96,0.0,55.27,7,78.96
Suburban Cash,5475,24,0,0,0,0,1,2,1,5,12,18,0,11,11,0.2673,0,0,0,0.288802,0,98.62,0.0,0.0,0.0,0,0.0
Urban Regulars,5476,20,1,0,0,0,1,2,1,4,5,7,10,23,13,0.152,1,23,1,0.725673,23,23.33,536.59,69.0,306.61,23,536.59
Urban Regulars,5477,29,1,0,0,0,0,2,2,2,4,16,10,12,2,0.5317,1,12,1,0.814084,12,8.3,99.6,14.94,54.78,12,99.6
Urban Regulars,5478,22,1,0,0,0,0,2,1,7,5,15,0,5,5,0.7955,0,0,1,0.944155,5,23.0,0.0,0.0,0.0,0,0.0
Rain Riders,5479,30,1,0,1,0,1,2,1,4,5,17,3,0,-3,0.369,0,3,0,0.299736,3,23.56,70.68,0.0,49.48,3,70.68
Suburban Card,5480,26,0,0,0,0,0,1,1,0,13,20,0,0,0,1.5236,1,0,1,0.192113,0,50.06,0.0,0.0,0.0,0,0.0
Urban Regulars,5481,28,1,0,0,0,0,2,1,0,4,6,0,4,4,0.7178,0,0,1,0.60319,4,7.86,0.0,0.0,0.0,0,0.0
Urban Regulars,5482,23,1,0,0,0,1,2,1,0,2,18,1,7,6,0.2932,1,7,0,0.353767,1,24.55,171.85,21.0,99.29,7,171.85
Urban Regulars,5483,31,1,0,0,0,0,2,1,7,4,12,12,13,1,1.0522,0,12,1,0.913136,13,25.08,300.96,0.0,210.67,12,300.96
Urban Regulars,5484,29,1,1,0,0,0,2,1,9,5,13,11,8,-3,0.5782,1,8,1,0.932157,8,29.37,234.96,24.0,140.47,8,234.96
Suburban Cash,5485,34,0,0,0,0,0,2,1,1,12,2,0,3,3,0.8866,0,0,1,0.241831,3,30.71,0.0,0.0,0.0,0,0.0
Suburban Cash,5486,27,0,0,1,0,0,2,2,6,10,13,8,12,4,0.5723,1,12,0,0.386416,8,9.99,119.88,17.98,65.94,12,119.88
Suburban Card,5487,25,0,0,0,0,0,1,1,1,15,11,0,9,9,1.6813,0,0,0,0.302478,0,20.51,0.0,0.0,0.0,0,0.0
Rain Riders,5488,29,1,0,1,0,0,2,1,8,3,14,9,10,1,0.8715,0,9,1,0.814711,10,20.03,180.27,0.0,126.19,9,180.27
Urban Regulars,5489,25,1,0,0,0,0,2,2,3,5,16,8,14,6,0.3318,1,14,1,0.873758,14,11.07,154.98,23.25,85.24,14,154.98
Suburban Cash,5490,33,0,0,0,0,0,2,2,0,11,13,0,2,2,1.1576,0,0,0,0.154043,0,36.38,0.0,0.0,0.0,0,0.0
Airport Business,5491,27,1,1,0,1,1,2,1,4,6,17,16,20,4,0.1644,0,16,1,0.611549,20,59.82,957.12,0.0,669.98,16,957.12
Suburban Cash,5492,32,0,0,0,0,1,2,1,0,11,7,0,0,0,0.7013,0,0,0,0.041443,0,41.98,0.0,0.0,0.0,0,0.0
Urban Regulars,5493,33,1,0,0,0,0,2,1,2,0,5,3,0,-3,0.4974,0,3,1,0.826971,0,21.48,64.44,0.0,45.11,3,64.44
Rain Riders,5494,27,1,0,1,0,1,2,1,1,5,9,4,10,6,0.9682,0,4,0,0.168487,4,37.3,149.2,0.0,104.44,4,149.2
Suburban Cash,5495,27,0,0,0,0,1,2,1,0,11,17,6,6,0,0.5594,1,6,1,0.055701,6,46.04,276.24,18.0,175.37,6,276.24
Urban Regulars,5496,30,1,0,0,0,1,2,2,5,7,9,25,9,-16,0.6424,1,9,1,0.59129,9,12.24,110.16,16.52,60.59,9,110.16
Suburban Card,5497,38,0,0,0,0,0,1,1,5,13,16,0,12,12,0.8473,0,0,0,0.412148,0,11.24,0.0,0.0,0.0,0,0.0
Urban Regulars,5498,24,1,0,0,0,0,2,1,6,3,23,18,29,11,0.8138,0,18,1,0.93908,29,28.9,520.2,0.0,364.14,18,520.2
Rain Riders,5499,24,1,0,1,0,0,2,3,2,4,6,23,8,-15,0.7694,0,23,0,0.642776,23,6.73,154.79,0.0,108.35,23,154.79
Urban Regulars,5500,29,1,0,0,0,1,2,1,9,3,17,2,16,14,0.2035,1,16,0,0.783866,2,29.54,472.64,48.0,282.85,16,472.64
Urban Regulars,5501,23,1,1,0,0,0,2,1,0,4,3,12,1,-11,1.536,0,12,0,0.674683,12,23.83,285.96,0.0,200.17,12,285.96
Urban Regulars,5502,29,1,0,0,0,1,2,1,3,1,9,5,8,3,0.1325,1,8,0,0.627648,5,41.94,335.52,24.0,210.86,8,335.52
Urban Regulars,5503,35,1,0,0,0,1,2,1,5,1,17,16,8,-8,0.0987,0,16,0,0.637088,16,27.78,444.48,0.0,311.14,16,444.48
Suburban Card,5504,38,0,1,1,0,1,1,1,0,6,17,2,5,3,1.8718,0,2,0,0.013469,2,14.18,28.36,0.0,19.85,2,28.36
Suburban Cash,5505,47,0,1,0,0,1,2,1,0,16,17,0,0,0,1.0871,0,0,0,0.011061,0,33.19,0.0,0.0,0.0,0,0.0
Urban Regulars,5506,27,1,1,0,0,0,2,3,15,2,11,13,21,8,0.7259,1,21,1,0.969992,21,11.85,248.85,37.33,136.86,21,248.85
Urban Regulars,5507,27,1,0,0,0,1,2,1,2,2,9,4,0,-4,0.1642,1,0,1,0.566865,0,19.84,0.0,0.0,0.0,0,0.0
